site,latitude,longitude,first.yr,last.year,n.yr.rng,slope,int,tau,pval,total.change,total.change.pcnt,trend.cat,vegstack
pt1,67.605858,-156.873687,2000,2020,21,0.00086,0.21827,0.726,0,0.01806,8.27415586200577,greening,sparsegraminoidsparsedryaslichenbarren
pt10,67.603095,-156.871357,2000,2020,21,0.00323,0.31854,0.346,0.0489,0.06783,21.294029007346,greening,sparsegraminoidsparsedryaslichenbarren
pt100,67.577284,-156.840526,2000,2020,21,0.00208,0.22459,0.386,0.028,0.04368,19.4487733202725,greening,openEV ericaceousopenlichendryas
pt101,67.577167,-156.839806,2000,2020,21,0.00101,0.22969,0.267,0.1628,0.02121,9.23418520614742,no trend,openEV ericaceousopenlichendryas
pt102,67.576722,-156.840254,2000,2020,21,0.00041,0.22906,0.132,0.4838,0.00861,3.75884047847725,no trend,openEV ericaceousopenlichendryas
pt103,67.576908,-156.839931,2000,2020,21,0.00065,0.25494,0.162,0.387,0.01365,5.35420098846787,no trend,openEV ericaceousopenlichendryas
pt104,67.576617,-156.840239,2000,2020,21,0.00041,0.22906,0.132,0.4838,0.00861,3.75884047847725,no trend,openEV ericaceousopenlichendryas
pt105,67.576321,-156.839835,2000,2020,21,0.00149,0.21973,0.338,0.0638,0.03129,14.2402038865881,greening,openEV ericaceousopenlichendryas
pt106,67.575944,-156.83947,2000,2020,21,-8e-05,0.27499,-0.007,1,-0.00168,-0.610931306592967,no trend,openEV ericaceousopenlichendryas
pt107,67.575764,-156.839162,2000,2020,21,-1e-04,0.27532,-0.007,1,-0.0021,-0.762748801394741,no trend,openEV ericaceousopenlichendryas
pt108,67.575402,-156.838703,2000,2020,21,-0.00032,0.337,-0.176,0.3247,-0.00672,-1.99406528189911,no trend,openEV ericaceousopenlichendryas
pt109,67.575025,-156.838153,2000,2020,21,0.00041,0.2941,0.098,0.5959,0.00861,2.92757565453927,no trend,openEV ericaceousopenlichendryas
pt11,67.602981,-156.871076,2000,2020,21,0.0035,0.20581,0.307,0.0814,0.0735,35.7125504105729,greening,sparsegraminoidsparsedryaslichenbarren
pt110,67.574738,-156.838002,2000,2020,21,0.00098,0.33951,-0.018,0.9442,0.02058,6.06167712291243,no trend,openEV ericaceousopenlichendryas
pt111,67.574039,-156.83823,2000,2020,21,0.00454,0.27052,0.485,0.0074,0.09534,35.2432352506284,greening,sparsewhite spruceopenpotentiladryasbarren
pt112,67.574407,-156.837518,2000,2020,21,0.00194,0.35821,0.386,0.028,0.04074,11.3732168281176,greening,sparsewhite spruceopenpotentiladryasbarren
pt113,67.573896,-156.837629,2000,2020,21,0.0025,0.24531,0.647,3e-04,0.0525,21.4014919897273,greening,sparsewhite spruceopenpotentiladryasbarren
pt114,67.57373,-156.836854,2000,2020,21,0.00212,0.24259,0.559,0.002,0.04452,18.3519518529206,greening,sparsewhite spruceopenpotentiladryasbarren
pt115,67.573633,-156.835245,2000,2020,21,0.00108,0.21634,0.176,0.3434,0.02268,10.4834981972821,no trend,sparsewhite spruceopenpotentiladryasbarren
pt116,67.573311,-156.834219,2000,2020,21,0.00028,0.26798,-0.1,0.6204,0.00588,2.19419359653706,no trend,sparsewhite spruceopenpotentiladryasbarren
pt117,67.573231,-156.833929,2000,2020,21,0.00028,0.2682,-0.132,0.4838,0.00588,2.1923937360179,no trend,sparsewhite spruceopenpotentiladryasbarren
pt118,67.573097,-156.83351,2000,2020,21,0.00159,0.22753,0.373,0.0339,0.03339,14.6749879136817,greening,sparsewhite spruceopenpotentiladryasbarren
pt119,67.572805,-156.832032,2000,2020,21,0.00047,0.28318,0.015,0.9671,0.00987,3.48541563669751,no trend,sparsewhite spruceopenpotentiladryasbarren
pt12,67.602747,-156.870826,2000,2020,21,0.00215,0.2238,0.438,0.0124,0.04515,20.1742627345845,greening,sparsegraminoidsparsedryaslichenbarren
pt120,67.572749,-156.831763,2000,2020,21,0.00044,0.28382,0.015,0.9671,0.00924,3.25558452540342,no trend,sparsewhite spruceopenpotentiladryasbarren
pt121,67.572727,-156.831338,2000,2020,21,0.00273,0.33026,0.314,0.1133,0.05733,17.3590504451039,no trend,sparsewhite spruceopenpotentiladryasbarren
pt122,67.572348,-156.830248,2000,2020,21,0.00098,0.29571,0.267,0.1628,0.02058,6.95952115248047,no trend,sparsewhite spruceopenpotentiladryasbarren
pt123,67.572261,-156.829543,2000,2020,21,0.00191,0.24366,0.3,0.1151,0.04011,16.4614626939178,no trend,sparsewhite spruceopenpotentiladryasbarren
pt124,67.571761,-156.828867,2000,2020,21,0.00107,0.1906,0.3,0.1151,0.02247,11.7890870933893,no trend,sparsewhite spruceopenpotentiladryasbarren
pt127,67.571163,-156.826696,2000,2020,21,-0.00052,0.22438,-0.433,0.0217,-0.01092,-4.86674391657011,browning,sparsewhite spruceopenpotentiladryasbarren
pt128,67.570895,-156.8262,2000,2020,21,0.00019,0.2074,-0.044,0.8368,0.00399,1.92381870781099,no trend,sparsewhite spruceopenpotentiladryasbarren
pt13,67.602553,-156.869746,2000,2020,21,0.0027,0.25309,0.382,0.0357,0.0567,22.4030977122763,greening,sparsegraminoidsparsedryaslichenbarren
pt130,67.570203,-156.824913,2000,2020,21,-0.00089,0.29744,-0.176,0.3247,-0.01869,-6.28362022592792,no trend,sparsewhite spruceopenpotentiladryasbarren
pt131,67.570095,-156.824461,2000,2020,21,-0.00182,0.30865,-0.368,0.0301,-0.03822,-12.3829580430909,browning,sparsewhite spruceopenpotentiladryasbarren
pt132,67.57007,-156.824148,2000,2020,21,-0.00186,0.30915,-0.345,0.0424,-0.03906,-12.6346433770015,browning,sparsewhite spruceopenpotentiladryasbarren
pt133,67.569836,-156.822138,2000,2020,21,-0.00241,0.29107,-0.368,0.0435,-0.05061,-17.3875700003436,browning,sparsewhite spruceopenpotentiladryasbarren
pt134,67.569796,-156.821694,2000,2020,21,-0.00018,0.27862,-0.007,1,-0.00378,-1.3566865264518,no trend,sparsewhite spruceopenpotentiladryasbarren
pt135,67.569952,-156.820269,2000,2020,21,-0.00149,0.28582,-0.582,9e-04,-0.03129,-10.9474494437058,browning,sparsewhite spruceopenpotentiladryasbarren
pt136,67.570015,-156.818963,2000,2020,21,-0.00107,0.26749,-0.132,0.4838,-0.02247,-8.40031403043104,no trend,sparsewhite spruceopenpotentiladryasbarren
pt137,67.569836,-156.818184,2000,2020,21,0.00198,0.30456,0.279,0.1275,0.04158,13.6524822695035,no trend,sparsewhite spruceopenpotentiladryasbarren
pt138,67.569763,-156.821356,2000,2020,21,-0.00018,0.27864,0.02,0.9396,-0.00378,-1.35658914728682,no trend,sparsewhite spruceopenpotentiladryasbarren
pt139,67.569418,-156.81864,2000,2020,21,0.00079,0.38467,0.397,0.029,0.01659,4.31278758416305,greening,sparsewhite spruceopenpotentiladryasbarren
pt14,67.602166,-156.870143,2000,2020,21,0.0032,0.35455,0.438,0.0124,0.0672,18.9536031589339,greening,sparsegraminoidsparsedryaslichenbarren
pt140,67.569707,-156.818245,2000,2020,21,-0.00084,0.35422,-0.147,0.4338,-0.01764,-4.97995595957315,no trend,sparsewhite spruceopenpotentiladryasbarren
pt141,67.569305,-156.818665,2000,2020,21,0.00077,0.38525,0.368,0.0435,0.01617,4.19727449707982,greening,sparsewhite spruceopenpotentiladryasbarren
pt142,67.568709,-156.818282,2000,2020,21,0.00046,0.19545,0.132,0.4838,0.00966,4.9424405218726,no trend,sparsesheperdiasparsedryasbarren
pt143,67.568645,-156.818076,2000,2020,21,0.00064,0.21852,0.118,0.5366,0.01344,6.15046677649643,no trend,sparsesheperdiasparsedryasbarren
pt144,67.568836,-156.816396,2000,2020,21,0.0033,0.18221,0.633,7e-04,0.0693,38.033038801383,greening,sparsesheperdiasparsedryasbarren
pt145,67.568811,-156.815081,2000,2020,21,0.00753,0.12387,0.544,0.0026,0.15813,127.658028578348,greening,closedwillowclosedwillowalluvium
pt146,67.56855,-156.813896,2005,2020,16,0.00187,0.15456,0.692,0.0012,0.02992,19.3581780538302,greening,closedwillowclosedwillowalluvium
pt147,67.56843,-156.813623,2005,2020,16,0.00245,0.14969,0.744,5e-04,0.0392,26.1874540717483,greening,closedwillowclosedwillowalluvium
pt148,67.568319,-156.813309,2000,2020,21,0.00359,0.1629,0.45,0.017,0.07539,46.279926335175,greening,closedwillowclosedwillowalluvium
pt149,67.568013,-156.812237,2000,2020,21,0.00271,0.2591,0.267,0.1628,0.05691,21.9644924739483,no trend,closedwillowclosedwillowalluvium
pt15,67.602303,-156.868939,2000,2020,21,0.0014,0.19089,0.268,0.1297,0.0294,15.4015401540154,no trend,sparsegraminoidsparsedryaslichenbarren
pt150,67.567678,-156.81143,2000,2020,21,0.00371,0.28983,0.433,0.0217,0.07791,26.8812752303074,greening,closedwillowclosedwillowalluvium
pt151,67.567557,-156.81095,2000,2020,21,0.00372,0.29011,0.417,0.0274,0.07812,26.9277170728344,greening,closedwillowclosedwillowalluvium
pt152,67.56736,-156.809772,2000,2020,21,0.00324,0.24894,0.143,0.5112,0.06804,27.3318872017354,no trend,closedwillowclosedwillowalluvium
pt153,67.567195,-156.808972,2000,2020,21,0.00361,0.22574,0.438,0.0124,0.07581,33.5828829627005,greening,sparsewhite spruceclosedEV ericaceousmoss
pt154,67.567066,-156.808635,2000,2020,21,0.004,0.27106,0.456,0.012,0.084,30.9894488305172,greening,sparsewhite spruceclosedEV ericaceousmoss
pt155,67.5667,-156.807584,2000,2020,21,1e-05,0.34354,-0.176,0.3434,0.00021,0.0611282528963148,no trend,sparsewhite spruceclosedEV ericaceousmoss
pt156,67.566621,-156.807028,2000,2020,21,0.00017,0.53965,0.007,1,0.00357,0.661539886963773,no trend,sparsewhite spruceclosedEV ericaceousmoss
pt157,67.566456,-156.806202,2000,2020,21,0.00327,0.41987,0.15,0.4047,0.06867,16.3550622811823,no trend,sparsewhite spruceclosedEV ericaceousmoss
pt158,67.566296,-156.805648,2000,2020,21,0.00144,0.52338,0.294,0.1082,0.03024,5.7778287286484,no trend,sparsewhite spruceclosedEV ericaceousmoss
pt159,67.56611,-156.804958,2000,2020,21,0.00287,0.34812,0.294,0.1082,0.06027,17.3129955187866,no trend,sparsewhite spruceclosedEV ericaceousmoss
pt16,67.602048,-156.868365,2000,2020,21,0.00194,0.17807,0.307,0.0814,0.04074,22.8786432301904,greening,sparsegraminoidsparsedryaslichenbarren
pt160,67.565683,-156.805099,2000,2020,21,-0.00392,0.7575,-0.133,0.4995,-0.08232,-10.8673267326733,no trend,sparsewhite spruceclosedEV ericaceousmoss
pt161,67.565879,-156.805036,2000,2020,21,-0.00292,0.64635,-0.1,0.6204,-0.06132,-9.48711998143421,no trend,sparsewhite spruceclosedEV ericaceousmoss
pt162,67.565216,-156.804052,2000,2020,21,-0.00296,0.65386,-0.2,0.3004,-0.06216,-9.50662221270608,no trend,sparsewhite spruceclosedEV ericaceousmoss
pt163,67.565201,-156.80287,2000,2020,21,-0.0021,0.53353,-0.118,0.5366,-0.0441,-8.26570202237925,no trend,sparsewhite spruceclosedEV ericaceousmoss
pt164,67.565183,-156.802644,2000,2020,21,-0.00199,0.53253,-0.118,0.5366,-0.04179,-7.84744521435412,no trend,openwhite spruceopenbirchlichenDC dwarf shrub
pt165,67.565182,-156.801254,2000,2020,21,-0.00129,0.61659,-0.015,0.9671,-0.02709,-4.39351919427821,no trend,openwhite spruceopenbirchlichenDC dwarf shrub
pt166,67.565083,-156.800908,2000,2020,21,-0.00173,0.606,-0.368,0.0435,-0.03633,-5.9950495049505,browning,openwhite spruceopenbirchlichenDC dwarf shrub
pt167,67.564904,-156.800278,2000,2020,21,-0.00179,0.64312,-0.382,0.0357,-0.03759,-5.84494340092051,browning,openwhite spruceopenbirchlichenDC dwarf shrub
pt168,67.564734,-156.798802,2000,2020,21,0.00364,0.39787,0.294,0.0956,0.07644,19.2123055269309,greening,openwhite spruceopenbirchlichenDC dwarf shrub
pt169,67.564702,-156.799151,2000,2020,21,0.00385,0.39515,0.281,0.1116,0.08085,20.4605845881311,no trend,openwhite spruceopenbirchlichenDC dwarf shrub
pt17,67.601906,-156.869707,2000,2020,21,0.00392,0.30761,0.333,0.0582,0.08232,26.7611586099282,greening,sparsegraminoidsparsedryaslichenbarren
pt170,67.564717,-156.798849,2000,2020,21,0.0035,0.39818,0.268,0.1297,0.0735,18.4589883972073,no trend,openwhite spruceopenbirchlichenDC dwarf shrub
pt171,67.564382,-156.797296,2000,2020,21,-0.00047,0.59264,0.067,0.7526,-0.00987,-1.66542926565875,no trend,openwhite spruceopenbirchlichenDC dwarf shrub
pt172,67.564238,-156.797005,2000,2020,21,0.00175,0.51199,0.368,0.0435,0.03675,7.17787456786265,greening,openwhite spruceopenbirchlichenDC dwarf shrub
pt173,67.563938,-156.796284,2000,2020,21,0.00302,0.4425,0.353,0.0529,0.06342,14.3322033898305,greening,openwhite spruceopenbirchlichenDC dwarf shrub
pt174,67.563826,-156.795951,2000,2020,21,0.00082,0.59305,0.183,0.3444,0.01722,2.90363375769328,no trend,openwhite spruceopenbirchlichenDC dwarf shrub
pt175,67.563289,-156.794871,2000,2020,21,0.00096,0.38843,0.118,0.5366,0.02016,5.19012434672914,no trend,openwhite spruceopenbirchlichenDC dwarf shrub
pt176,67.562986,-156.794672,2000,2020,21,-0.00353,0.70539,-0.242,0.1727,-0.07413,-10.5090800833581,no trend,openwhite spruceopenbirchlichenDC dwarf shrub
pt177,67.562589,-156.794184,2000,2020,21,-5e-04,0.64136,0,1,-0.0105,-1.6371460646127,no trend,openwhite spruceopenwillowdryasgraminoid
pt178,67.562356,-156.793448,2000,2020,21,0.00021,0.58685,0.221,0.2322,0.00441,0.751469711169805,no trend,openwhite spruceopenwillowdryasgraminoid
pt179,67.562165,-156.793032,2000,2020,21,-0.00143,0.54964,-0.265,0.1494,-0.03003,-5.4635761589404,no trend,openwhite spruceopenwillowdryasgraminoid
pt18,67.601856,-156.867685,2002,2020,19,0.00149,0.1808,0.221,0.2322,0.02831,15.658185840708,no trend,sparsegraminoidsparsedryaslichenbarren
pt180,67.562032,-156.792735,2000,2020,21,-0.00143,0.54917,-0.294,0.1082,-0.03003,-5.46825208951691,no trend,openwhite spruceopenpotentilalichengraminoid
pt181,67.561835,-156.791153,2000,2020,21,-0.00022,0.55844,0.044,0.8368,-0.00462,-0.827304634338514,no trend,openwhite spruceopenpotentilalichengraminoid
pt182,67.561739,-156.790237,2000,2020,21,-0.00015,0.58252,0.088,0.6505,-0.00315,-0.540753965529081,no trend,openwhite spruceopenpotentilalichengraminoid
pt183,67.561708,-156.790085,2000,2020,21,-0.00022,0.58344,0.074,0.7108,-0.00462,-0.79185520361991,no trend,openwhite spruceopenpotentilalichengraminoid
pt184,67.561358,-156.78921,2000,2020,21,-0.00161,0.58835,-0.059,0.7731,-0.03381,-5.74657941701368,no trend,openwhite spruceopenpotentilalichengraminoid
pt185,67.561088,-156.788485,2000,2020,21,-0.00051,0.59084,0.074,0.7108,-0.01071,-1.81267348182249,no trend,openwhite spruceopenpotentilalichengraminoid
pt186,67.561014,-156.788213,2000,2020,21,-0.00074,0.55716,-0.132,0.4838,-0.01554,-2.78914494938617,no trend,openwhite spruceopenpotentilalichengraminoid
pt187,67.560774,-156.78772,2000,2020,21,-0.00065,0.55659,-0.103,0.5923,-0.01365,-2.45243356869509,no trend,openwhite spruceopenpotentilalichengraminoid
pt188,67.560283,-156.787028,2000,2020,21,-0.00039,0.51318,-0.206,0.2661,-0.00819,-1.59593125219221,no trend,openwhite spruceopenpotentilalichengraminoid
pt189,67.560244,-156.786908,2000,2020,21,-4e-04,0.51317,-0.206,0.2661,-0.0084,-1.6368844632383,no trend,openwhite spruceopenpotentilalichengraminoid
pt19,67.601638,-156.866653,2000,2020,21,0.00235,0.20527,0.233,0.2241,0.04935,24.0415063087641,no trend,sparsegraminoidsparsedryaslichenbarren
pt190,67.559766,-156.785934,2000,2020,21,0.00217,0.56003,0.426,0.0189,0.04557,8.13706408585254,greening,openwhite spruceopenbirchEV dwarf shrublichen
pt191,67.559689,-156.785421,2000,2020,21,0.00245,0.57831,0.397,0.029,0.05145,8.89661254344556,greening,openwhite spruceopenbirchEV dwarf shrublichen
pt192,67.559521,-156.78485,2000,2020,21,0.00086,0.61831,0.191,0.3031,0.01806,2.92086493829956,no trend,openwhite spruceopenbirchEV dwarf shrublichen
pt193,67.559326,-156.784085,2000,2020,21,-0.00258,0.70173,-0.147,0.4338,-0.05418,-7.72091830191099,no trend,closedwhite spruceclosedbirchalderDC dwarf shrubEV dwarf shrub
pt194,67.559196,-156.783229,2000,2020,21,-0.00084,0.6714,0.02,0.9396,-0.01764,-2.62734584450402,no trend,closedwhite spruceclosedbirchalderDC dwarf shrubEV dwarf shrub
pt195,67.559027,-156.782862,2000,2020,21,-0.0015,0.68489,0.029,0.9016,-0.0315,-4.59927871629021,no trend,closedwhite spruceclosedbirchalderDC dwarf shrubEV dwarf shrub
pt196,67.558718,-156.780135,2000,2020,21,-0.00313,0.68765,-0.02,0.9396,-0.06573,-9.55864175089071,no trend,closedwhite spruceclosedbirchalderDC dwarf shrubEV dwarf shrub
pt197,67.558912,-156.778878,2000,2017,18,-0.00694,0.4305,-0.516,0.0118,-0.12492,-29.0174216027875,browning,closedwhite spruceclosedbirchalderDC dwarf shrubEV dwarf shrub
pt198,67.55874,-156.778371,2000,2020,21,0.00501,0.44263,0.386,0.028,0.10521,23.7692881187448,greening,closedwhite spruceclosedbirchalderDC dwarf shrubEV dwarf shrub
pt199,67.55866,-156.782397,2000,2020,21,-0.00251,0.67037,0.015,0.9671,-0.05271,-7.86282202365858,no trend,closedwhite spruceclosedbirchalderDC dwarf shrubEV dwarf shrub
pt2,67.605637,-156.871607,2000,2020,21,0.00081,0.29106,-0.029,0.8887,0.01701,5.84415584415584,no trend,sparsegraminoidsparsedryaslichenbarren
pt20,67.601568,-156.866246,2000,2020,21,0.00157,0.19146,0.382,0.0357,0.03297,17.2203071137574,greening,sparsegraminoidsparsedryaslichenbarren
pt200,67.558563,-156.782,2000,2020,21,-0.00086,0.65965,0.103,0.5923,-0.01806,-2.73781550822406,no trend,closedwhite spruceclosedbirchalderDC dwarf shrubEV dwarf shrub
pt201,67.558549,-156.780715,2000,2020,21,-0.00144,0.67656,-0.098,0.5959,-0.03024,-4.46967009577865,no trend,closedwhite spruceclosedbirchalderDC dwarf shrubEV dwarf shrub
pt202,67.558659,-156.778339,2000,2020,21,0.00507,0.44195,0.373,0.0339,0.10647,24.0909605158955,greening,closedwhite spruceclosedbirchalderDC dwarf shrubEV dwarf shrub
pt203,67.558229,-156.778634,2000,2020,21,-0.00115,0.67568,-0.015,0.9671,-0.02415,-3.5741771252664,no trend,openblack spruce openwillowbirchEV dwarf shrub
pt204,67.558057,-156.778342,2000,2020,21,0.0014,0.62379,0.216,0.2255,0.0294,4.7131246092435,no trend,openblack spruce openwillowbirchEV dwarf shrub
pt205,67.557727,-156.777703,2000,2020,21,0.00134,0.62958,0.176,0.3247,0.02814,4.46964643095397,no trend,openblack spruce openwillowbirchEV dwarf shrub
pt206,67.557243,-156.777591,2000,2020,21,-0.00062,0.63448,-0.147,0.4338,-0.01302,-2.05207413945278,no trend,openblack spruce openwillowbirchEV dwarf shrub
pt207,67.556541,-156.777922,2000,2020,21,-9e-05,0.55482,-0.015,0.9671,-0.00189,-0.340651021953066,no trend,openbirchopenalderwillowbarren
pt208,67.556357,-156.777858,2000,2020,21,-8e-05,0.55447,-0.015,0.9671,-0.00168,-0.302992046458781,no trend,openbirchopenalderwillowbarren
pt209,67.556063,-156.77683,2000,2020,21,0.00018,0.58134,0.074,0.7108,0.00378,0.650221901124987,no trend,openbirchopenalderwillowbarren
pt21,67.601497,-156.868661,2000,2020,21,0.00176,0.18198,0.529,0.0024,0.03696,20.3099241674909,greening,sparsegraminoidsparsedryaslichenbarren
pt210,67.555809,-156.776121,2000,2020,21,0.00195,0.53018,0.503,0.004,0.04095,7.72379191972538,greening,openbirchopenalderwillowbarren
pt211,67.555624,-156.775592,2000,2020,21,0.00189,0.44739,0.118,0.5366,0.03969,8.87145443572722,no trend,openbirchopenalderwillowbarren
pt212,67.555226,-156.774799,2000,2020,21,-0.00043,0.63648,0.015,0.9671,-0.00903,-1.41874057315234,no trend,openwhite spruceopenbirchEV dwarf shrublichen
pt213,67.555117,-156.774773,2000,2020,21,-0.00021,0.63139,0.059,0.7731,-0.00441,-0.698458955637562,no trend,openwhite spruceopenbirchEV dwarf shrublichen
pt214,67.554905,-156.774585,2000,2020,21,0.00123,0.59689,0.221,0.2322,0.02583,4.32743051483523,no trend,openwhite spruceopenbirchEV dwarf shrublichen
pt215,67.554334,-156.773985,2000,2020,21,0.00309,0.5342,0.65,5e-04,0.06489,12.1471359041557,greening,openwhite spruceopenbirchEV dwarf shrublichen
pt216,67.554253,-156.77353,2000,2020,21,0.00235,0.53858,0.55,0.0034,0.04935,9.16298414348843,greening,openwhite spruceopenbirchEV dwarf shrublichen
pt217,67.554122,-156.773319,2000,2020,21,0.00118,0.57707,0.371,0.06,0.02478,4.29410643422808,greening,openwhite spruceopenbirchEV dwarf shrublichen
pt218,67.553458,-156.772697,2000,2020,21,0.00464,0.4508,0.615,0.0041,0.09744,21.6149068322981,greening,openwillowclosedwillowalluvium
pt219,67.553357,-156.772596,2000,2020,21,0.00464,0.4508,0.615,0.0041,0.09744,21.6149068322981,greening,openwillowclosedwillowalluvium
pt22,67.601424,-156.868402,2000,2020,21,0.00126,0.1672,0.15,0.4047,0.02646,15.8253588516746,no trend,sparsegraminoidsparsedryaslichenbarren
pt220,67.552757,-156.772565,2000,2020,21,0.00187,0.5555,0.495,0.016,0.03927,7.06930693069307,greening,openwillowclosedwillowalluvium
pt221,67.552555,-156.772109,2000,2020,21,0.00304,0.52411,0.282,0.2001,0.06384,12.1806491003797,no trend,openwillowclosedwillowalluvium
pt222,67.552369,-156.771425,2000,2020,21,0.00135,0.56382,0.363,0.0798,0.02835,5.02820048951793,greening,openwillowclosedwillowalluvium
pt225,67.551703,-156.770079,2005,2020,16,-0.01386,0.36153,-0.467,0.0736,-0.22176,-61.3393079412497,browning,openwillowclosedwillowalluvium
pt227,67.551595,-156.770216,2000,2020,21,0.00154,0.3112,0,1,0.03234,10.3920308483291,no trend,openwillowclosedwillowalluvium
pt228,67.550952,-156.770956,2000,2020,21,-0.00075,0.25481,-0.121,0.5841,-0.01575,-6.1810760959146,no trend,openwillowclosedwillowalluvium
pt229,67.550644,-156.771187,2000,2020,21,0.00063,0.25446,-0.121,0.6312,0.01323,5.19924546097619,no trend,openwillowclosedwillowalluvium
pt23,67.60131,-156.866928,2000,2020,21,0.005,0.14034,0.542,0.0019,0.105,74.8182984181274,greening,sparsegraminoidsparsedryaslichenbarren
pt230,67.549866,-156.772079,2000,2020,21,-0.00169,0.23679,-0.219,0.2763,-0.03549,-14.9879640187508,no trend,openwillowclosedwillowalluvium
pt231,67.549388,-156.772067,2004,2020,17,-0.00259,0.22828,-0.282,0.2001,-0.04403,-19.2877168389697,no trend,openwillowclosedwillowalluvium
pt232,67.549151,-156.772222,2005,2020,16,-0.01196,0.34853,-0.333,0.1272,-0.19136,-54.9048862364789,no trend,openwillowclosedwillowalluvium
pt233,67.54853,-156.773089,2000,2020,21,0.00325,0.22926,-0.044,0.8368,0.06825,29.7696937974352,no trend,openwillowclosedwillowalluvium
pt234,67.548876,-156.772529,2000,2020,21,0.00305,0.22854,-0.067,0.7665,0.06405,28.0257285376739,no trend,openwillowclosedwillowalluvium
pt235,67.548141,-156.773687,2000,2020,21,0.00184,0.49469,0.167,0.3923,0.03864,7.81095231357011,no trend,openwillowclosedwillowalluvium
pt236,67.547678,-156.77408,2000,2020,21,0.00169,0.49764,0.219,0.2763,0.03549,7.13166144200627,no trend,openwillowclosedwillowalluvium
pt237,67.547947,-156.773822,2000,2020,21,0.00184,0.49469,0.167,0.3923,0.03864,7.81095231357011,no trend,openwillowclosedwillowalluvium
pt238,67.54718,-156.774459,2000,2019,20,0.00145,0.40476,0.056,0.917,0.029,7.16473959877458,no trend,openwillowclosedwillowalluvium
pt239,67.546926,-156.774846,2000,2020,21,0.00439,0.43711,0.309,0.2129,0.09219,21.0908009425545,no trend,openwillowclosedwillowalluvium
pt24,67.601188,-156.865373,2000,2020,21,0.0039,0.17134,0.673,1e-04,0.0819,47.7996965098634,greening,sparsegraminoidsparsedryaslichenbarren
pt240,67.546343,-156.776688,2000,2020,21,-0.00179,0.60509,-0.067,0.7526,-0.03759,-6.21229899684344,no trend,openwillowclosedwillowalluvium
pt241,67.546385,-156.775907,2000,2020,21,-0.00082,0.5735,0.121,0.5841,-0.01722,-3.00261551874455,no trend,openwillowclosedwillowalluvium
pt242,67.545918,-156.777,2000,2020,21,-0.00255,0.63752,-0.233,0.2241,-0.05355,-8.39973647885557,no trend,openwillowclosedwillowalluvium
pt243,67.545305,-156.777909,2000,2020,21,-0.00461,0.63329,-0.267,0.1628,-0.09681,-15.2868354150547,no trend,openwillowclosedwillowalluvium
