site,latitude,longitude,first.yr,last.year,n.yr.rng,slope,int,tau,pval,total.change,total.change.pcnt,trend.cat,vegstack
pt244,67.544801,-156.778033,2000,2020,21,0.00213,0.49185,-0.067,0.7665,0.04473,9.09423604757548,no trend,openwillowclosedwillowalluvium
pt245,67.544388,-156.778377,2000,2020,21,0.00125,0.50844,0.257,0.1982,0.02625,5.16285107387302,no trend,openwillowclosedwillowalluvium
pt246,67.544305,-156.778025,2000,2020,21,0.00122,0.50861,0.257,0.1982,0.02562,5.03725841017676,no trend,openwillowclosedwillowalluvium
pt247,67.54391,-156.778342,2000,2020,21,0.00079,0.55907,0.121,0.5841,0.01659,2.96742805015472,no trend,openwillowclosedwillowalluvium
pt248,67.544247,-156.77808,2000,2020,21,0.00122,0.50818,0.238,0.235,0.02562,5.04152072100437,no trend,openwillowclosedwillowalluvium
pt249,67.543793,-156.778572,2000,2020,21,-0.00638,0.72755,-0.483,0.0103,-0.13398,-18.4152291938698,browning,openwillowclosedwillowalluvium
pt25,67.601095,-156.865132,2000,2020,21,0.00399,0.30803,0.399,0.023,0.08379,27.2018959192286,greening,sparsegraminoidsparsedryaslichenbarren
pt250,67.543217,-156.778766,2000,2020,21,-0.00542,0.68731,-0.383,0.0428,-0.11382,-16.5602130043212,browning,openwillowclosedwillowalluvium
pt251,67.542737,-156.779337,2000,2020,21,8e-04,0.56525,0.133,0.4995,0.0168,2.97213622291022,no trend,openwillowclosedwillowalluvium
pt252,67.542817,-156.77892,2000,2020,21,3e-04,0.56762,0.074,0.7108,0.0063,1.10989746661499,no trend,openwillowclosedwillowalluvium
pt254,67.541853,-156.780192,2000,2020,21,-0.0046,0.67294,-0.353,0.0529,-0.0966,-14.3549202009094,browning,openwillowclosedwillowalluvium
pt256,67.541509,-156.779052,2000,2020,21,-0.00116,0.41825,-0.029,0.9016,-0.02436,-5.82426778242678,no trend,openwillowclosedwillowalluvium
pt257,67.540806,-156.78023,2006,2020,15,-0.00751,0.32865,-0.179,0.4277,-0.11265,-34.2765860337745,no trend,openwillowclosedwillowalluvium
pt258,67.541085,-156.779955,2000,2020,21,-0.00076,0.4331,0.007,1,-0.01596,-3.68506118679289,no trend,openwillowclosedwillowalluvium
pt259,67.540625,-156.780376,2001,2020,20,-0.00323,0.33889,-0.117,0.5584,-0.0646,-19.062232582844,no trend,openwillowclosedwillowalluvium
pt26,67.600726,-156.864389,2000,2020,21,0.00109,0.44498,0.124,0.4954,0.02289,5.14405141804126,no trend,sparsegraminoidsparsedryaslichenbarren
pt260,67.539757,-156.780582,2002,2020,19,-7e-05,0.28871,-0.083,0.6853,-0.00133,-0.460669876346507,no trend,openwillowclosedwillowalluvium
pt261,67.539372,-156.780963,2000,2020,21,0.00184,0.27816,0,1,0.03864,13.8912855910267,no trend,openwillowclosedwillowalluvium
pt262,67.538995,-156.781228,2000,2020,21,0.00044,0.41954,0.183,0.3444,0.00924,2.2024121657053,no trend,openwillowclosedwillowalluvium
pt263,67.539033,-156.78118,2000,2020,21,0.00044,0.41954,0.183,0.3444,0.00924,2.2024121657053,no trend,openwillowclosedwillowalluvium
pt264,67.538476,-156.78146,2004,2020,17,-0.00292,0.32398,-0.231,0.2736,-0.04964,-15.3219334526823,no trend,openwillowclosedwillowalluvium
pt265,67.537957,-156.781701,2004,2020,17,0.0093,0.23521,-0.055,0.8267,0.1581,67.2165299094426,no trend,openwillowclosedwillowalluvium
pt266,67.53784,-156.781653,2004,2020,17,0.0093,0.23523,-0.055,0.8267,0.1581,67.2108149470731,no trend,openwillowclosedwillowalluvium
pt268,67.537383,-156.782005,2005,2020,16,-0.00725,0.33251,-0.212,0.3727,-0.116,-34.8861688370275,no trend,openwillowclosedwillowalluvium
pt269,67.536683,-156.782656,2007,2020,14,0.01378,0.09406,0.857,0.0044,0.19292,205.10312566447,greening,openwillowclosedwillowalluvium
pt27,67.600277,-156.863823,2000,2020,21,0.00162,0.38435,0.281,0.1116,0.03402,8.85130740210745,no trend,sparsegraminoidsparsedryaslichenbarren
pt276,67.533899,-156.784739,2000,2020,21,0.00271,0.43548,0.3,0.1151,0.05691,13.0683383852301,no trend,openwillowclosedwillowalluvium
pt277,67.534224,-156.78396,2002,2020,19,-0.00399,0.37872,-0.273,0.2437,-0.07581,-20.0174271229404,no trend,openwillowclosedwillowalluvium
pt278,67.533347,-156.785505,2000,2020,21,0.00422,0.43627,0.433,0.0217,0.08862,20.3131088546084,greening,openwillowclosedwillowalluvium
pt279,67.533779,-156.78495,2002,2020,19,0.00047,0.36681,-0.077,0.7426,0.00893,2.43450287614842,no trend,openwillowclosedwillowalluvium
pt28,67.600259,-156.863786,2000,2020,21,0.00109,0.19072,0.229,0.1978,0.02289,12.0018875838926,no trend,sparsegraminoidsparsedryaslichenbarren
pt280,67.532966,-156.785368,2000,2020,21,-0.00069,0.3843,-0.121,0.5841,-0.01449,-3.77049180327869,no trend,openwillowclosedwillowalluvium
pt281,67.53269,-156.785301,2000,2020,21,0.00114,0.38638,0.236,0.3502,0.02394,6.19597287644288,no trend,openwillowclosedwillowalluvium
pt282,67.532053,-156.786352,2004,2020,17,-0.00364,0.33626,-0.511,0.0491,-0.06188,-18.4024266936299,browning,openwillowclosedwillowalluvium
pt283,67.532196,-156.786255,2000,2020,21,0.00391,0.27825,0.067,0.7526,0.08211,29.5094339622642,no trend,openwillowclosedwillowalluvium
pt284,67.531638,-156.786582,2006,2015,10,-0.01891,0.33946,-0.667,0.3082,-0.1891,-55.7061214870677,no trend,openwillowclosedwillowalluvium
pt285,67.531091,-156.787531,2005,2020,16,-0.00819,0.33781,-0.091,0.7317,-0.13104,-38.7910363813978,no trend,openwillowclosedwillowalluvium
pt286,67.531458,-156.786889,2005,2020,16,-0.01336,0.36823,-0.308,0.1606,-0.21376,-58.0506748499579,no trend,openwillowclosedwillowalluvium
pt287,67.530954,-156.787663,2005,2020,16,-0.00828,0.33799,-0.121,0.6312,-0.13248,-39.1964259297612,no trend,openwillowclosedwillowalluvium
pt29,67.600093,-156.863315,2000,2020,21,0.0021,0.21382,0.529,0.0024,0.0441,20.6248246188383,greening,sparsegraminoidsparsedryaslichenbarren
pt292,67.529419,-156.789866,2000,2020,21,-0.001,0.4593,-0.15,0.444,-0.021,-4.57217504898759,no trend,openwillowclosedwillowalluvium
pt293,67.529096,-156.790206,2000,2020,21,-0.00142,0.53937,-0.118,0.5366,-0.02982,-5.52867233995217,no trend,openwillowclosedwillowalluvium
pt294,67.528338,-156.790649,2000,2020,21,0.00057,0.44647,0.132,0.4838,0.01197,2.68103120030461,no trend,openwillowclosedwillowalluvium
pt295,67.528735,-156.790357,2000,2020,21,0.00093,0.31935,-0.029,0.9016,0.01953,6.11554720526069,no trend,openwillowclosedwillowalluvium
pt296,67.527888,-156.791005,2000,2020,21,0.00115,0.36466,0.074,0.7108,0.02415,6.62260736028081,no trend,openwillowclosedwillowalluvium
pt297,67.527819,-156.791105,2000,2020,21,0.00121,0.36437,0.074,0.7108,0.02541,6.97368059939073,no trend,openwillowclosedwillowalluvium
pt298,67.526974,-156.791707,2000,2020,21,0.00172,0.4427,0.257,0.1982,0.03612,8.15902416986673,no trend,openwillowclosedwillowalluvium
pt299,67.52732,-156.791512,2000,2020,21,0.00119,0.47552,0.276,0.1659,0.02499,5.25529946164199,no trend,openwillowclosedwillowalluvium
pt3,67.605581,-156.871235,2000,2020,21,0.00166,0.25606,0.124,0.4954,0.03486,13.6139967195189,no trend,sparsegraminoidsparsedryaslichenbarren
pt30,67.599435,-156.862684,2000,2020,21,0.00227,0.17503,0.464,0.008,0.04767,27.2353310860995,greening,sparsegraminoidsparsedryaslichenbarren
pt300,67.526779,-156.791956,2000,2020,21,0.00222,0.44026,0.205,0.3601,0.04662,10.589197292509,no trend,openwillowclosedwillowalluvium
pt301,67.526065,-156.792333,2000,2020,21,0.00283,0.44139,0.417,0.0274,0.05943,13.4642832868891,greening,openwillowclosedwillowalluvium
pt303,67.525932,-156.792442,2000,2020,21,0.00282,0.44139,0.417,0.0274,0.05922,13.416706314144,greening,openwillowclosedwillowalluvium
pt306,67.52468,-156.79224,2000,2020,21,-0.00092,0.34589,-0.099,0.6614,-0.01932,-5.58559079476134,no trend,openwillowclosedwillowalluvium
pt307,67.524453,-156.7921,2000,2020,21,0.00101,0.52236,0.181,0.3731,0.02121,4.06041810245807,no trend,openwillowclosedwillowalluvium
pt309,67.523329,-156.791798,2006,2020,15,0.00097,0.28454,0.238,0.548,0.01455,5.11351655303297,no trend,openwillowclosedwillowalluvium
pt31,67.599291,-156.862536,2000,2020,21,0.00233,0.1743,0.451,0.01,0.04893,28.0722891566265,greening,sparsegraminoidsparsedryaslichenbarren
pt310,67.522884,-156.792854,2005,2020,16,-0.00178,0.32122,-0.091,0.7555,-0.02848,-8.86619762156777,no trend,openwillowclosedwillowalluvium
pt311,67.523168,-156.792043,2006,2020,15,0.00102,0.28386,0.238,0.548,0.0153,5.38998097653773,no trend,openwillowclosedwillowalluvium
pt312,67.522752,-156.793508,2005,2020,16,-0.0045,0.28216,-0.164,0.5334,-0.072,-25.5174369152254,no trend,openwillowclosedwillowalluvium
pt313,67.522778,-156.793362,2005,2020,16,-0.0045,0.28215,-0.164,0.5334,-0.072,-25.518341307815,no trend,openwillowclosedwillowalluvium
pt315,67.521451,-156.795966,2014,2020,7,0.00071,0.15623,0.6,0.2207,0.00497,3.1812071945209,no trend,openwillowclosedwillowalluvium
pt316,67.521849,-156.795422,2000,2020,21,-0.00333,0.3671,-0.044,0.8368,-0.06993,-19.0493053663852,no trend,openwillowclosedwillowalluvium
pt317,67.521095,-156.796764,2014,2020,7,0.00127,0.14963,0.467,0.2597,0.00889,5.94132192742097,no trend,openwillowclosedwillowalluvium
pt318,67.521249,-156.796434,2014,2020,7,0.00127,0.15021,0.467,0.2597,0.00889,5.91838093335996,no trend,openwillowclosedwillowalluvium
pt319,67.520713,-156.7979,2000,2020,21,-0.00349,0.26108,-0.282,0.2001,-0.07329,-28.0718553700015,no trend,openwillowclosedwillowalluvium
pt32,67.599038,-156.861792,2000,2020,21,0.00041,0.29134,-0.059,0.7619,0.00861,2.9553099471408,no trend,sparsegraminoidsparsedryaslichenbarren
pt321,67.520116,-156.799915,2000,2020,21,-0.00309,0.31298,-0.143,0.5112,-0.06489,-20.7329541823759,no trend,openwillowclosedwillowalluvium
pt326,67.518623,-156.80351,2004,2020,17,-0.00195,0.27006,-0.244,0.3711,-0.03315,-12.2750499888914,no trend,openwillowclosedwillowalluvium
pt327,67.518939,-156.803119,2002,2020,19,0.00329,0.13493,0.048,1,0.06251,46.3277254872897,no trend,openwillowclosedwillowalluvium
pt328,67.518435,-156.803754,2004,2020,17,-0.00195,0.27005,-0.244,0.3711,-0.03315,-12.275504536197,no trend,openwillowclosedwillowalluvium
pt33,67.598904,-156.86145,2000,2020,21,0.00128,0.32949,0.132,0.4838,0.02688,8.15806246016571,no trend,sparsegraminoidsparsedryaslichenbarren
pt330,67.518044,-156.804378,2013,2020,8,0.0037,0.14505,0.867,0.0242,0.0296,20.4067562909342,greening,openwillowclosedwillowalluvium
pt331,67.5173,-156.805668,2007,2020,14,0.00381,0.11724,0.733,0.0603,0.05334,45.496417604913,greening,openwillowclosedwillowalluvium
pt332,67.517637,-156.80498,2007,2020,14,0.00081,0.16284,0.238,0.548,0.01134,6.96389093588799,no trend,openwillowclosedwillowalluvium
pt333,67.516764,-156.806816,2007,2020,14,-0.00419,0.20572,0.071,0.9015,-0.05866,-28.5144857087303,no trend,openwillowclosedwillowalluvium
pt334,67.516825,-156.806626,2007,2020,14,-0.00422,0.20577,0.071,0.9015,-0.05908,-28.7116683675949,no trend,openwillowclosedwillowalluvium
pt335,67.516535,-156.807232,2006,2020,15,-0.00371,0.21149,-0.167,0.6022,-0.05565,-26.3133008652891,no trend,openwillowclosedwillowalluvium
pt337,67.516138,-156.807817,2004,2020,17,-0.00161,0.19299,-0.378,0.1524,-0.02737,-14.1820819731592,no trend,openwillowclosedwillowalluvium
pt339,67.515749,-156.808436,2008,2020,13,-0.00183,0.17867,0,1,-0.02379,-13.315050092349,no trend,openwillowclosedwillowalluvium
pt34,67.598791,-156.861003,2000,2020,21,0.00128,0.22687,0.279,0.1275,0.02688,11.8481950015427,no trend,sparsegraminoidsparsedryaslichenbarren
pt347,67.512584,-156.814609,2013,2019,7,0.03043,0.13668,1,0.0275,0.21301,155.845771144279,greening,openwillowclosedwillowalluvium
pt35,67.598133,-156.860269,2000,2020,21,0.00077,0.28263,0,1,0.01617,5.72126101263136,no trend,sparsegraminoidsparsedryaslichenbarren
pt355,67.510238,-156.818381,2000,2019,20,-0.00169,0.44961,0.103,0.6693,-0.0338,-7.51762638731345,no trend,openwhite sprucewillowsparsewillowericaceouslichenmoss
pt357,67.509851,-156.818874,2000,2019,20,0.00229,0.31382,0.253,0.2284,0.0458,14.5943534510229,no trend,openwhite sprucewillowsparsewillowericaceouslichenmoss
pt358,67.510071,-156.818522,2000,2019,20,-0.00178,0.45137,0.103,0.6693,-0.0356,-7.88709927553892,no trend,openwhite sprucewillowsparsewillowericaceouslichenmoss
pt359,67.509605,-156.819271,2000,2019,20,-0.00327,0.48691,-0.242,0.3037,-0.0654,-13.4316403442115,no trend,openwhite spruceopenericaceouslichenmoss
pt36,67.598034,-156.860182,2000,2020,21,0.00041,0.35188,0.033,0.8926,0.00861,2.4468568830283,no trend,sparsewhite sprucesparsewillowgraminoidbarren
pt360,67.509045,-156.819878,2000,2020,21,-0.00428,0.58184,-0.165,0.4434,-0.08988,-15.4475457170356,no trend,closedwhite spruceclosedericaceousmoss
pt361,67.509235,-156.819564,2000,2019,20,0.00228,0.35671,0.345,0.1611,0.0456,12.7834935942362,no trend,closedwhite spruceclosedericaceousmoss
pt363,67.508182,-156.821279,2000,2020,21,-0.00848,0.67782,-0.769,3e-04,-0.17808,-26.2724617154997,browning,closedwhite spruceclosedericaceousmoss
pt364,67.508345,-156.820777,2000,2020,21,-0.00275,0.49954,-0.257,0.1982,-0.05775,-11.5606357849221,no trend,closedwhite spruceclosedericaceousmoss
pt37,67.597673,-156.859881,2000,2020,21,-0.00028,0.35536,-0.133,0.4995,-0.00588,-1.65466006303467,no trend,sparsewhite sprucesparsewillowgraminoidbarren
pt38,67.597201,-156.859535,2000,2020,21,0.00137,0.38664,0.238,0.235,0.02877,7.44103041589075,no trend,sparsewhite sprucesparsewillowgraminoidbarren
pt39,67.597015,-156.859522,2000,2020,21,0.00148,0.38672,0.2,0.3223,0.03108,8.03682250724038,no trend,sparsewhite sprucesparsewillowgraminoidbarren
pt4,67.605448,-156.873197,2000,2020,21,0.00045,0.28773,-0.02,0.9396,0.00945,3.28432905849234,no trend,sparsegraminoidsparsedryaslichenbarren
pt40,67.596654,-156.858909,2000,2020,21,-0.00028,0.47251,-0.15,0.444,-0.00588,-1.24441810755328,no trend,sparsewhite sprucesparsewillowgraminoidbarren
pt41,67.596499,-156.858594,2000,2020,21,-0.00033,0.47207,-0.15,0.444,-0.00693,-1.46800262672909,no trend,sparsewhite sprucesparsewillowgraminoidbarren
pt42,67.5961,-156.858351,2000,2020,21,-0.00035,0.39288,-0.1,0.6204,-0.00735,-1.87080024434942,no trend,sparsewhite sprucesparsewillowgraminoidbarren
pt43,67.595599,-156.857816,2000,2020,21,0.00083,0.42916,0.088,0.6505,0.01743,4.06142231335632,no trend,sparsewhite sprucesparsewillowgraminoidbarren
pt44,67.595426,-156.857374,2000,2020,21,-0.00038,0.40113,0.074,0.7108,-0.00798,-1.98938000149577,no trend,sparsewhite sprucesparsewillowgraminoidbarren
pt45,67.594998,-156.856563,2000,2020,21,0.00314,0.18362,0.456,0.012,0.06594,35.9111207929419,greening,sparsewhite spruceclosedgraminoidlichendryas
pt46,67.594998,-156.855803,2000,2020,21,0.00161,0.20172,0.147,0.4338,0.03381,16.7608566329566,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt47,67.594936,-156.856284,2000,2020,21,0.00156,0.20238,0.147,0.4338,0.03276,16.1873702935073,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt48,67.594908,-156.855671,2000,2020,21,0.00161,0.20173,0.147,0.4338,0.03381,16.7600257770287,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt49,67.594674,-156.854953,2000,2020,21,0.00089,0.20512,0.276,0.1659,0.01869,9.11173946957878,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt5,67.604748,-156.872915,2000,2020,21,0.00228,0.31482,0.32,0.069,0.04788,15.2086906803888,greening,sparsegraminoidsparsedryaslichenbarren
pt50,67.594365,-156.85437,2000,2020,21,0.00056,0.21418,0.067,0.7665,0.01176,5.49070874964983,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt51,67.59408,-156.853771,2002,2020,19,0.0017,0.38748,0.253,0.2284,0.0323,8.33591411169609,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt52,67.593882,-156.852736,2000,2020,21,0.0022,0.37099,0.154,0.5022,0.0462,12.4531658535271,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt53,67.593781,-156.852508,2000,2020,21,0.00219,0.37103,0.154,0.5022,0.04599,12.3952241058675,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt54,67.593289,-156.851596,2000,2020,21,-0.00296,0.37571,-0.341,0.1005,-0.06216,-16.5446754145485,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt55,67.592926,-156.851332,2000,2020,21,0.00148,0.35049,0.048,0.8431,0.03108,8.86758538046735,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt56,67.592781,-156.851027,2000,2020,21,-0.00043,0.34807,-0.147,0.4338,-0.00903,-2.59430574309765,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt57,67.592642,-156.850952,2000,2020,21,-0.00044,0.34813,-0.147,0.4338,-0.00924,-2.65418090943039,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt58,67.592095,-156.850186,2000,2020,21,-6e-04,0.32361,-0.216,0.2255,-0.0126,-3.89357560025957,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt59,67.5919,-156.849771,2000,2020,21,-0.00104,0.3347,-0.438,0.0124,-0.02184,-6.52524648939349,browning,sparsewhite spruceclosedgraminoidlichendryas
pt6,67.604417,-156.872476,2000,2020,21,0.0014,0.19572,0.205,0.2342,0.0294,15.0214592274678,no trend,sparsegraminoidsparsedryaslichenbarren
pt60,67.591671,-156.84949,2000,2020,21,1e-04,0.29782,-0.05,0.8219,0.0021,0.705123900342489,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt61,67.59138,-156.849007,2000,2020,21,1e-04,0.31468,-0.083,0.6853,0.0021,0.667344604042202,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt62,67.590898,-156.848555,2002,2020,19,-1e-04,0.41827,0.077,0.7426,-0.0019,-0.454252038157171,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt63,67.590165,-156.847617,2000,2020,21,-0.00052,0.46503,0.029,0.9212,-0.01092,-2.34823559770337,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt64,67.590061,-156.847845,2000,2020,21,-0.00178,0.52674,-0.067,0.7665,-0.03738,-7.09648023692903,no trend,sparsewhite spruceclosedgraminoidlichendryas
pt65,67.589452,-156.848098,2000,2020,21,0.00104,0.40066,0.257,0.1982,0.02184,5.4510058403634,no trend,sparsewhite sprucesparsewillowdryasgraminoid
pt66,67.589195,-156.848176,2000,2020,21,-6e-04,0.37938,-0.162,0.4285,-0.0126,-3.32120828720544,no trend,sparsewhite sprucesparsewillowdryasgraminoid
pt67,67.588488,-156.847363,2000,2020,21,-2e-05,0.2606,0.015,0.9671,-0.00042,-0.161166538756715,no trend,opengraminoidcloseddryaslichenbarren
pt68,67.588537,-156.847277,2000,2020,21,-2e-05,0.26061,0.015,0.9671,-0.00042,-0.16116035455278,no trend,opengraminoidcloseddryaslichenbarren
pt69,67.588267,-156.847296,2000,2020,21,9e-04,0.28177,0.1,0.6204,0.0189,6.70759839585478,no trend,opengraminoidcloseddryaslichenbarren
pt7,67.604291,-156.872119,2000,2020,21,0.00074,0.21765,0.098,0.5959,0.01554,7.13990351481737,no trend,sparsegraminoidsparsedryaslichenbarren
pt70,67.588048,-156.847196,2000,2020,21,0.00145,0.29824,-0.067,0.7526,0.03045,10.2098980686695,no trend,sparsegraminoidsparsedryaslichenbarren
pt71,67.587599,-156.846925,2002,2020,19,8e-05,0.22975,-0.067,0.7526,0.00152,0.661588683351469,no trend,sparsegraminoidsparsedryaslichenbarren
pt72,67.587398,-156.846676,2002,2020,19,4e-05,0.23014,-0.067,0.7526,0.00076,0.33023377074824,no trend,sparsewhite sprucesparsewillowdryasgraminoid
pt73,67.586946,-156.846159,2002,2020,19,-0.00116,0.46801,-0.238,0.235,-0.02204,-4.70930108331019,no trend,sparsewhite sprucesparsewillowdryasgraminoid
pt74,67.586428,-156.845991,2002,2020,19,0.00024,0.47787,0.1,0.6204,0.00456,0.954234415217528,no trend,sparsewhite sprucesparsewillowdryasgraminoid
pt75,67.585842,-156.845969,2000,2020,21,0.00028,0.4491,-0.098,0.5959,0.00588,1.30928523714095,no trend,sparsewhite sprucesparsewillowdryasgraminoid
pt76,67.58563,-156.845884,2000,2020,21,-0.00222,0.3751,-0.412,0.0189,-0.04662,-12.4286856838176,browning,sparsedryassparsegraminoidlichenbarren
pt77,67.584843,-156.846329,2002,2020,19,-0.00104,0.19707,-0.067,0.7665,-0.01976,-10.0268939970569,no trend,sparsewhite sprucesparsewillowEV dwarf shrubbarren
pt78,67.584461,-156.846477,2002,2020,19,-0.00013,0.30313,-0.086,0.6922,-0.00247,-0.814831920298222,no trend,sparsewhite sprucesparsewillowEV dwarf shrubbarren
pt79,67.584018,-156.84648,2000,2020,21,0.00124,0.26117,-0.05,0.8219,0.02604,9.97051728759046,no trend,sparsewhite sprucesparsewillowEV dwarf shrubbarren
pt8,67.604129,-156.87189,2000,2020,21,0.00173,0.24704,0.176,0.3247,0.03633,14.7061204663212,no trend,sparsegraminoidsparsedryaslichenbarren
pt80,67.583448,-156.8463,2000,2020,21,-0.00126,0.24401,-0.294,0.0956,-0.02646,-10.8438178763165,browning,openwhite sprucesparsewillowpotentilaDC dwarf shrubmoss
pt81,67.583172,-156.846165,2000,2020,21,-0.00068,0.22236,-0.221,0.2322,-0.01428,-6.42201834862385,no trend,openwhite sprucesparsewillowpotentilaDC dwarf shrubmoss
pt82,67.582747,-156.846122,2000,2020,21,0.00126,0.30418,-0.048,0.8431,0.02646,8.69879676507331,no trend,openwhite sprucesparsewillowpotentilaDC dwarf shrubmoss
pt83,67.582055,-156.845911,2000,2020,21,0.00286,0.41476,0.257,0.1982,0.06006,14.4806635162504,no trend,openwhite sprucesparsewillowpotentilaDC dwarf shrubmoss
pt84,67.581985,-156.845923,2000,2020,21,-0.00061,0.43972,-0.314,0.1133,-0.01281,-2.91321750204676,no trend,openwhite sprucesparsewillowpotentilaDC dwarf shrubmoss
pt85,67.581537,-156.845544,2000,2020,21,0.00018,0.33812,-0.165,0.4434,0.00378,1.11794629125754,no trend,openwhite sprucesparsewillowpotentilaDC dwarf shrubmoss
pt86,67.58135,-156.845221,2000,2020,21,-0.00048,0.4801,-0.253,0.2284,-0.01008,-2.09956259112685,no trend,openwhite sprucesparsewillowpotentilaDC dwarf shrubmoss
pt87,67.581069,-156.844995,2000,2020,21,0.00085,0.44671,0.048,0.8431,0.01785,3.99588099661973,no trend,opengraminoidopendryaslichenbarren
pt88,67.580396,-156.844496,2001,2020,20,0.00256,0.21833,0.314,0.1133,0.0512,23.4507397059497,no trend,opengraminoidopendryaslichenbarren
pt89,67.580093,-156.844194,2002,2020,19,0.00129,0.18222,0.473,0.0215,0.02451,13.4507737899243,greening,opengraminoidopendryaslichenbarren
pt9,67.603675,-156.871749,2000,2020,21,0.00404,0.20634,0.516,0.0031,0.08484,41.1166036638558,greening,sparsegraminoidsparsedryaslichenbarren
pt90,67.579932,-156.843941,2000,2020,21,0.00115,0.19263,0.524,0.0075,0.02415,12.5369880080984,greening,opengraminoidopendryaslichenbarren
pt91,67.579435,-156.843616,2005,2020,16,0.00216,0.14782,0.59,0.006,0.03456,23.3797862264917,greening,opengraminoidopendryaslichenbarren
pt92,67.578986,-156.844566,2002,2020,19,0.00011,0.15551,0.162,0.4285,0.00209,1.3439650183268,no trend,opengraminoidopendryaslichenbarren
pt93,67.579261,-156.84379,2000,2020,21,0.00191,0.20576,0.467,0.0175,0.04011,19.4935847589425,greening,opengraminoidopendryaslichenbarren
pt94,67.578764,-156.844156,2000,2020,21,0.00099,0.15725,0.307,0.0814,0.02079,13.2209856915739,greening,openEV ericaceousopenlichendryas
pt95,67.578848,-156.843514,2002,2020,19,0.00132,0.15744,0.219,0.2763,0.02508,15.9298780487805,no trend,openEV ericaceousopenlichendryas
pt96,67.578202,-156.842692,2000,2020,21,0.00173,0.18186,0.283,0.1373,0.03633,19.9769053117783,no trend,openEV ericaceousopenlichendryas
pt97,67.578089,-156.842588,2000,2020,21,0.00343,0.20829,0.838,0,0.07203,34.581592971338,greening,openEV ericaceousopenlichendryas
pt98,67.577886,-156.842218,2000,2020,21,0.00131,0.26995,0.309,0.0912,0.02751,10.1907760696425,greening,openEV ericaceousopenlichendryas
pt99,67.577562,-156.841548,2000,2020,21,0.00111,0.24316,0.373,0.0339,0.02331,9.58628063826287,greening,openEV ericaceousopenlichendryas
